k,metric,mean_value,median_value,q5_value,q25_value,q75_value,q95_value
2,silhouette_score,0.734366246082653,0.734596967656488,0.724006360438032,0.730359617165156,0.738510762586129,0.744636045224865
3,silhouette_score,0.293905902374515,0.294033900970493,0.288775472669097,0.292083911291656,0.295738328597782,0.298698307784047
4,silhouette_score,0.303836475551943,0.303879315972447,0.299379210688355,0.302081316774862,0.305606406544168,0.308228406283189
5,silhouette_score,0.259173683485331,0.259249735553523,0.254531797068785,0.257306735489411,0.261057014324322,0.263849269642107
6,silhouette_score,0.288339628171703,0.288403622650437,0.283453005721701,0.286510346151805,0.290272339283366,0.292965806365248
7,silhouette_score,0.256602614923421,0.256486687383957,0.25158466944513,0.254617322005096,0.258519331892387,0.261590907546002
8,silhouette_score,0.306488848908402,0.306501335873686,0.301790591249167,0.304595893800863,0.308224308541582,0.311111763138716
9,silhouette_score,0.289101244427188,0.289069145590941,0.284641533082547,0.287268031264394,0.29088089051525,0.293743225759516
2,davies_bouldin,1.00175331522115,1.00259943951992,0.979406106669084,0.992957939806047,1.01106170719804,1.02247570448857
3,davies_bouldin,1.21759600310117,1.21775175127403,1.20349809182302,1.21178119626614,1.22293639790637,1.23231211403537
4,davies_bouldin,1.00938481229241,1.00937527842107,0.985568287984362,0.9993157427295,1.01987305637068,1.03343437544503
5,davies_bouldin,1.10241228850041,1.10273038623267,1.08165113933721,1.09426963355355,1.11094625747258,1.12257192388297
6,davies_bouldin,1.02976742630763,1.03019851324924,1.01183455265138,1.0221725252934,1.037229580325,1.04654296657984
7,davies_bouldin,1.02662334624439,1.02627677257635,1.01085924079411,1.01993770426931,1.03332853475878,1.04341459654247
8,davies_bouldin,0.995924182392239,0.996008739225387,0.979384940473742,0.988685312767399,1.00281997912574,1.01214625022492
9,davies_bouldin,0.978144095878351,0.977772168504591,0.963614920541653,0.972240270393676,0.983818970602022,0.993594873776965
2,calinski_harabasz,3057.06468088364,3050.96225855827,2723.17874415169,2912.99501487721,3185.32174704913,3410.29631608986
3,calinski_harabasz,3306.53482565785,3310.02765547568,3122.96468194847,3232.25700092915,3379.81094222235,3487.7550086257
4,calinski_harabasz,3383.23691757125,3384.66506806042,3126.01736445923,3267.00803939875,3495.83041543756,3663.22462207083
5,calinski_harabasz,3379.63800407522,3376.13987895882,3152.4119944093,3285.10301336366,3479.30248222323,3620.43092963497
6,calinski_harabasz,3405.36237363995,3403.35355878374,3199.09507126398,3324.88821767688,3491.74781297236,3617.10710051389
7,calinski_harabasz,3224.27949949696,3223.14444734463,3038.8136152514,3147.54652011017,3305.32284489306,3420.69102905494
8,calinski_harabasz,3226.63569915423,3229.94479097731,3020.70586941861,3151.46400067155,3311.87642114408,3430.10131904365
9,calinski_harabasz,3242.68680733933,3254.01909174707,3045.22703403702,3171.35264883845,3325.66181959443,3425.63821740506
