Var1,Var2,value
total_distance,PC1,0.743965642510623
rg,PC1,0.738779658231254
max_dist_from_home,PC1,0.91617884622277
mean_dist_from_home,PC1,0.820892965960519
min_dist_from_home,PC1,0.563366513615159
max_freq_norm,PC1,-0.133253875508701
mean_freq_norm,PC1,-0.515388647325635
min_freq_norm,PC1,-0.536726741819508
entropy_norm,PC1,0.185573320632941
n_visits,PC1,0.430749957010178
time_spent_home,PC1,-0.159662316894509
total_distance,PC2,-0.29267024098285
rg,PC2,-0.169329692603986
max_dist_from_home,PC2,0.302340310055284
mean_dist_from_home,PC2,0.472027940256759
min_dist_from_home,PC2,0.607429011115995
max_freq_norm,PC2,-0.506115764213075
mean_freq_norm,PC2,0.0673713853462133
min_freq_norm,PC2,0.490446115993074
entropy_norm,PC2,-0.594247339013147
n_visits,PC2,-0.702261874119977
time_spent_home,PC2,0.128781860467804
total_distance,PC3,0.340299629433863
rg,PC3,0.356659370139676
max_dist_from_home,PC3,0.246631471168873
mean_dist_from_home,PC3,0.142790038580646
min_dist_from_home,PC3,-0.00793285484504472
max_freq_norm,PC3,0.687683280602735
mean_freq_norm,PC3,0.811485563508157
min_freq_norm,PC3,0.524384407841122
entropy_norm,PC3,0.0613914292342256
n_visits,PC3,-0.0976931894541611
time_spent_home,PC3,0.20895300320702
total_distance,PC4,-0.436021881397702
rg,PC4,-0.506728843186737
max_dist_from_home,PC4,0.0344189451634651
mean_dist_from_home,PC4,0.264210981019215
min_dist_from_home,PC4,0.544647869992312
max_freq_norm,PC4,0.315901771484663
mean_freq_norm,PC4,0.183409188481579
min_freq_norm,PC4,-0.0797559956441881
entropy_norm,PC4,0.437132290524422
n_visits,PC4,0.301528081538474
time_spent_home,PC4,-0.164714621431547
total_distance,PC5,0.0367967544159526
rg,PC5,0.0593041751424801
max_dist_from_home,PC5,0.00219014175111163
mean_dist_from_home,PC5,-0.0221044841830532
min_dist_from_home,PC5,-0.0536874330544776
max_freq_norm,PC5,0.0619753001314768
mean_freq_norm,PC5,0.0916170950145868
min_freq_norm,PC5,0.0972319060341114
entropy_norm,PC5,-0.179673597045269
n_visits,PC5,-0.0779512393933535
time_spent_home,PC5,-0.938106513988321
total_distance,PC6,-0.0285966013595037
rg,PC6,-0.0946213190352905
max_dist_from_home,PC6,-0.0181470447056272
mean_dist_from_home,PC6,0.0164574069518516
min_dist_from_home,PC6,0.0591022081743673
max_freq_norm,PC6,0.325190426530229
mean_freq_norm,PC6,-0.0281958752018608
min_freq_norm,PC6,-0.210796944107712
entropy_norm,PC6,-0.618122336044086
n_visits,PC6,0.243297295622009
time_spent_home,PC6,0.0841365279251243
total_distance,PC7,0.0657144735565194
rg,PC7,-0.048049969720803
max_dist_from_home,PC7,-0.0197344498826042
mean_dist_from_home,PC7,-0.00287369145024179
min_dist_from_home,PC7,0.00076050860893555
max_freq_norm,PC7,-0.172742849536532
mean_freq_norm,PC7,-0.0327462414972875
min_freq_norm,PC7,0.356165945798287
entropy_norm,PC7,-0.0528351677508561
n_visits,PC7,0.389158170159859
time_spent_home,PC7,-0.000393881433875646
total_distance,PC8,0.218505109852193
rg,PC8,-0.155380329603497
max_dist_from_home,PC8,-0.0406297108795022
mean_dist_from_home,PC8,-0.0459690677331446
min_dist_from_home,PC8,0.0738879350513401
max_freq_norm,PC8,-0.0248886361733156
mean_freq_norm,PC8,0.0344347336444201
min_freq_norm,PC8,-0.0302513499866591
entropy_norm,PC8,0.000629153850354763
n_visits,PC8,-0.039007657477684
time_spent_home,PC8,-0.0027881196632123
total_distance,PC9,-0.0233065191826208
rg,PC9,0.0265335107271032
max_dist_from_home,PC9,0.00954022112967406
mean_dist_from_home,PC9,-0.0111911711486236
min_dist_from_home,PC9,-0.00168057306842012
max_freq_norm,PC9,-0.115397074083046
mean_freq_norm,PC9,0.161772170810442
min_freq_norm,PC9,-0.091348403438546
entropy_norm,PC9,-0.0207196708877227
n_visits,PC9,0.0507958398362218
time_spent_home,PC9,-0.00039977693673694
total_distance,PC10,-0.012209691278484
rg,PC10,0.0285436714502977
max_dist_from_home,PC10,0.0367862598888953
mean_dist_from_home,PC10,-0.100223785596614
min_dist_from_home,PC10,0.0632360648766919
max_freq_norm,PC10,0.00470920589862849
mean_freq_norm,PC10,-0.00841659782185515
min_freq_norm,PC10,0.00659913135086205
entropy_norm,PC10,-0.000116137027202967
n_visits,PC10,0.00191477782125378
time_spent_home,PC10,0.000190240514616701
total_distance,PC11,-0.0036635703435958
rg,PC11,-0.0333354310908961
max_dist_from_home,PC11,0.0581062276002079
mean_dist_from_home,PC11,-0.00877537338967968
min_dist_from_home,PC11,-0.0332700209362205
max_freq_norm,PC11,-0.000255523478494846
mean_freq_norm,PC11,0.000217679745060797
min_freq_norm,PC11,-0.00043154501774141
entropy_norm,PC11,5.39943416630901e-05
n_visits,PC11,-0.000243369002151507
time_spent_home,PC11,-3.50739364200773e-05
