app_cluster,cluster,n_dev_days,p_dev_days
1,1,327020,0.687151061026629
1,0,138957,0.291983517788139
1,3,5579,0.0117228786296482
1,2,4351,0.00914254255558334
2,1,8086,0.931030512377663
2,0,568,0.0654001151410478
2,2,31,0.00356937248128958
2,3,,
3,1,747496,0.770001606968475
3,0,216119,0.222625910100415
3,2,6065,0.00624760499890809
3,3,1092,0.00112487793220241
4,0,2129896,0.518800999654116
4,1,1827228,0.445076995776315
4,3,91972,0.0224025800039947
4,2,56324,0.0137194245655743
5,1,8729,0.627263581488934
5,0,4862,0.349382006323656
5,2,289,0.0207674619143432
5,3,36,0.00258695027306697
6,1,408223,0.344564676092003
6,0,718809,0.606717872968981
6,2,19343,0.0163266511922347
6,3,38375,0.032390799746782
7,1,877523,0.210204684890476
7,0,3238776,0.77582683133187
7,3,38688,0.00926744808858883
7,2,19625,0.00470103568906524
8,1,10821,0.524807216644842
8,0,9286,0.45036131723168
8,2,273,0.0132402153353703
8,3,239,0.0115912507881081
