app_cluster,variable,value,p
4,0,11465886,0.0364318746371114
6,0,3225659,0.0364575439344588
3,0,479947,0.0175563590265124
7,0,4004375,0.0303845960093328
1,0,565345,0.042381448403588
2,0,6433,0.0208055731639478
5,0,33711,0.0273288189290437
8,0,64133,0.0371435819263488
4,1,10976610,0.0348772418861014
6,1,3117401,0.0352339735597674
3,1,383719,0.0140363592840341
7,1,3792486,0.0287768141048355
1,1,519556,0.0389488468223378
2,1,5294,0.0171218256381066
5,1,25312,0.0205199212343731
8,1,59986,0.0347417851251923
4,2,10708220,0.0340244555568239
6,2,3067197,0.0346665501167793
3,2,335626,0.0122771275883217
7,2,3696655,0.0280496628714544
1,2,489785,0.0367170448245785
2,2,4747,0.0153527212512452
5,2,19116,0.0154969506288036
8,2,57494,0.0332985062179143
4,3,10548968,0.0335184459122392
6,3,3044885,0.0344143719664337
3,3,314213,0.0114938446095038
7,3,3685288,0.027963411782873
1,3,468560,0.0351258991659698
2,3,4463,0.0144342100156535
5,3,14649,0.0118756449969316
8,3,55878,0.0323625757547677
4,4,10472073,0.0332741186094716
6,4,3039046,0.034348377514127
3,4,316765,0.0115871962259024
7,4,3735208,0.0283421972444708
1,4,452121,0.0338935390490384
2,4,4398,0.0142239873737047
5,4,11565,0.00937550920810388
8,4,54922,0.0318088941193914
4,5,10573935,0.0335977764248628
6,5,3078750,0.0347971262269865
3,5,369492,0.0135159386545267
7,5,3989272,0.0302699967139299
1,5,442868,0.0331998820040864
2,5,4641,0.0150098966351441
5,5,9872,0.0080030286988674
8,5,54589,0.0316160322108346
4,6,10993671,0.0349314517581675
6,6,3194237,0.0361024013277826
3,6,544848,0.0199304237819534
7,6,4558990,0.0345929313215141
1,6,444800,0.0333447156159795
2,6,5672,0.0183443511559011
5,6,9794,0.00793979569253518
8,6,55724,0.0322733843616213
4,7,11882973,0.037757132998896
6,7,3433219,0.0388034607902195
3,7,1033518,0.03780586829038
7,7,5412543,0.0410695632747038
1,7,459441,0.0344422875164596
2,7,8539,0.0276167867630888
5,7,11622,0.0094217179435005
8,7,58895,0.0341099162295902
4,8,12853482,0.0408408425545456
6,8,3722341,0.0420712203449086
3,8,1178149,0.0430964394625376
7,8,6138029,0.0465744420686297
1,8,483733,0.0362633527856669
2,8,11493,0.0371705972910387
5,8,20436,0.0165670476590411
8,8,64353,0.0372709982022722
4,9,13433800,0.0426847534939758
6,9,3829854,0.0432863704649384
3,9,1349240,0.0493549117984518
7,9,6139192,0.0465832667379373
1,9,510641,0.0382805281629033
2,9,13574,0.0439009560278917
5,9,33033,0.0267791781816944
8,9,67385,0.0390270261504531
4,10,13911070,0.0442012382041895
6,10,3931282,0.04443274575327
3,10,1537900,0.0562560544119942
7,10,6233542,0.047299180365777
1,10,530862,0.0397964083213357
2,10,15338,0.0496060751109329
5,10,45260,0.0366913572640537
8,10,71677,0.041512801860741
4,11,14248799,0.0452743432908193
6,11,4014429,0.0453725026852701
3,11,1710954,0.0625863328697699
7,11,6481359,0.0491795785375878
1,11,542699,0.0406837765739129
2,11,16546,0.053512982056689
5,11,58281,0.0472472159236924
8,11,75698,0.0438416238856868
4,12,14626858,0.0464755935119912
6,12,4134252,0.0467267847984317
3,12,1854407,0.0678338130528532
7,12,6778519,0.0514343839816667
1,12,552409,0.04141169291526
2,12,17368,0.0561714899287184
5,12,70247,0.0569478076387093
8,12,79156,0.0458443760772467
4,13,14718717,0.046767467648215
6,13,4151974,0.0469270851381782
3,13,1917364,0.0701367667023856
7,13,6884674,0.0522398721762965
1,13,553472,0.0414913813880562
2,13,17978,0.0581443485685455
5,13,80075,0.0649151664365688
8,13,81488,0.047194988602035
4,14,14615971,0.0464410009982357
6,14,4117406,0.0465363853218844
3,14,1897031,0.069392989893517
7,14,6824323,0.0517819378535222
1,14,551045,0.0413094397855383
2,14,18285,0.0591372462774421
5,14,85379,0.0692150108671596
8,14,82472,0.047764886854347
4,15,14805514,0.0470432577112661
6,15,4152619,0.0469343751573147
3,15,1844671,0.0674776722467181
7,15,7045591,0.0534608862012152
1,15,556634,0.0417284227342292
2,15,19069,0.0616728547587938
5,15,90447,0.0733235349196171
8,15,84725,0.0490697453527809
4,16,14983062,0.047607401335062
6,16,4146020,0.0468597909150177
3,16,1783786,0.065250511915829
7,16,6861025,0.0520604271165744
1,16,572633,0.0429277979706052
2,16,20309,0.0656832559282785
5,16,93963,0.0761738842819771
8,16,85871,0.0497334683173638
4,17,15163330,0.048180187526821
6,17,4186544,0.0473178075591825
3,17,1700899,0.062218523111585
7,17,6877637,0.0521864764773128
1,17,603353,0.0452307423584714
2,17,20700,0.0669478259744628
5,17,95001,0.0770153696739366
8,17,87630,0.0507522193598606
4,18,15081182,0.0479191692646745
6,18,4128701,0.046664045424437
3,18,1592210,0.0582427026434237
7,18,6599856,0.0500787159743458
1,18,638469,0.0478632356893409
2,18,20843,0.0674103157867502
5,18,92477,0.0749692144433915
8,18,87484,0.0506676612858387
4,19,14870085,0.0472484265553653
6,19,4035137,0.0456065518577941
3,19,1433964,0.0524540976713966
7,19,6116149,0.0464084199151889
1,19,679444,0.0509349526910602
2,19,19895,0.0643442994087893
5,19,86082,0.0697849186037179
8,19,86483,0.0500879172303872
4,20,14460988,0.0459485557369725
6,20,3909368,0.044185065940314
3,20,1244171,0.0455115101591945
7,20,5625404,0.0426847205691986
1,20,704728,0.0528303838727923
2,20,17905,0.0579082523706646
5,20,78104,0.0633173170073277
8,20,84209,0.0487708962692514
4,21,13939096,0.0442902884283571
6,21,3787272,0.0428050935736684
3,21,1043520,0.0381717393198545
7,21,5183568,0.0393321353686668
1,21,709109,0.0531588083312312
2,21,15169,0.049059496241866
5,21,67897,0.0550427106530592
8,21,80986,0.0469042478269733
4,22,13179233,0.0418758885679905
6,22,3627527,0.0409995988342028
3,22,837231,0.0306257316414645
7,22,4779200,0.0362638517241275
1,22,685940,0.0514219294730778
2,22,11911,0.038522490588494
5,22,56539,0.0458350121156062
8,22,75725,0.0438572613377319
4,23,12207751,0.0387890873878453
6,23,3402014,0.0384507707946327
3,23,633877,0.0231870856378904
7,23,4346756,0.0329825316088387
1,23,621798,0.0466134835444803
2,23,8626,0.027898161683851
5,23,44671,0.0362138669982887
8,23,69661,0.04034520544137
